genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Paracylindrocarpon	0	0	0	0	0	0	0	0	0	0
Collarispora	0	0	0	0	0	0	0	0	0	0
Grammothele	0	0	0	0	0	0	0	0	0	0
Pseudoclathrosphaerina	0	0	0	0	0	0	0	0	0	0
Dipodascus	0	0	0	0	0	0	0	0	0	0
Westerdykella	0	0	0	0	0	0	0	0	0	0
Membranomyces	0	0	0	0	0	0	0	0	0	0
Sphaerellopsis	0	0	0	0	0	0	0	0	0	0
Scutellinia	0	0	0	0	0	0	0	0	0	0
Antarctomyces	0	0	0	0	0	0	0	0	0	0
Toxicocladosporium	0	0	0	0	0	0	0	0	0	0
Rhizophagus	0	0	0	0	0	0	0	0	0	0
Cephalotheca	0	0	0	0	0	0	0	0	0	0
Neosetophoma	0	0	0	0	0	0	0	0	0	0
Rachicladosporium	0	0	0	0	0	0	0	0	0	0
Auricularia	0	0	0	0	0	0	0	0	0	0
Sporormurispora	0	0	0	0	0	0	0	0	0	0
Phaeohelotium	0	0	0	0	0	0	0	0	0	0
Angustimassarina	0	0	0	0	0	0	0	0	0	0
Podosphaera	0	0	0	0	0	0	0	0	0	0
Kernia	0	0	0	0	0	0	0	0	0	0
Mycoarthris	0	0	0	0	0	0	0	0	0	0
Perenniporia	0	0	0	0	0	0	0	0	0	0
Leptodontidium	0	0	0	0	0	0	0	0	0	0
Neostagonospora	0	0	0	0	0	0	0	0	0	0
Bradymyces	0	0	0	0	0	0	0	0	0	0
Setomelanomma	0	0	0	0	0	0	0	0	0	0
Pleurotus	0	0	0	0	0	0	0	0	0	0
Cephaliophora	0	0	0	0	0	0	0	0	0	0
Pseudochaetosphaeronema	0	0	0	0	0	0	0	0	0	0
Calcarisporiella	0	0	0	0	0	0	0	0	0	0
Cortinarius	0	0	0	0	0	0	0	0	0	0
Sporormiella	0	0	0	0	0	0	0	0	0	0
Brettanomyces	0	0	0	0	0	0	0	0	0	0
Athelopsis	0	0	0	0	0	0	0	0	0	0
Lactarius	0	0	0	0	0	0	0	0	0	0
Cistella	0	0	0	0	0	0	0	0	0	0
Barnettozyma	0	0	0	0	0	0	0	0	0	0
Uwebraunia	0	0	0	0	0	0	0	0	0	0
Xerochrysium	0	0	0	0	0	0	0	0	0	0
Luellia	0	0	0	0	0	0	0	0	0	0
Valsonectria	0	0	0	0	0	0	0	0	0	0
Boletus	0	0	0	0	0	0	0	0	0	0
Daldinia	0	0	0	0	0	0	0	0	0	0
Tricholoma	0	0	0	0	0	0	0	0	0	0
Trichoglossum	0	0	0	0	0	0	0	0	0	0
Claroideoglomus	0	0	0	0	0	0	0	0	0	0
Gymnopilus	0	0	0	0	0	0	0	0	0	0
Kriegeria	0	0	0	0	0	0	0	0	0	0
Bacidia	0	0	0	0	0	0	0	0	0	0
Calceomyces	0	0	0	0	0	0	0	0	0	0
Arnium	0	0	0	0	0	0	0	0	0	0
Pleiochaeta	0	0	0	0	0	0	0	0	0	0
Kabatina	0	0	0	0	0	0	0	0	0	0
Hydropisphaera	0	0	0	0	0	0	0	0	0	0
Apiosordaria	0	0	0	0	0	0	0	0	0	0
Pithoascus	0	0	0	0	0	0	0	0	0	0
Septoriella	0	0	0	0	0	0	0	0	0	0
Digitodochium	0	0	0	0	0	0	0	0	0	0
Bullanockia	0	0	0	0	0	0	0	0	0	0
